"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","pft1","pft2","pft3","pft4","pft5","pft6","pft7","pft8"
"sbs","Walcott",3,"e","CC","FB",2003,21,20,60,5,0,0,0,0,14,7
"essf","Otter Creek",1,"1","CC","FB",1990,1,1,0,97.2,3,0,0,0,4,45
"essf","Otter Creek",1,"2","CC","FB",1990,1,1,0,104.3,8,0,0,0,6,3
"essf","Otter Creek",1,"3","CC","FB",1990,1,1,0,15.1,0,0,0,0,1.5,1.5
"essf","Otter Creek",1,"4","CC","FB",1990,1,1,0,21.5,0.1,0,0,0,0.3,4
"essf","Otter Creek",1,"5","CC","FB",1990,1,1,0,122.2,0,0,0,0.1,6,9.5
"essf","Otter Creek",2,"11","CC","FB",1990,1,1,0,50,1.2,0,0,0,4,12.5
"essf","Otter Creek",2,"12","CC","FB",1990,1,1,0,43,0,0,0,0,1,6
"essf","Otter Creek",2,"13","CC","FB",1990,1,1,0,23.9,0,0,0,0,0.6,0.1
"essf","Otter Creek",2,"14","CC","FB",1990,1,1,0,74.1,7.6,0,0,1,0.1,10.6
"essf","Otter Creek",2,"15","CC","FB",1990,1,1,0,121.6,0.5,0,0,0.1,12.1,45
"essf","Otter Creek",3,"21","CC","FB",1990,1,1,0,65.3,0,0,0,0,5,0.1
"essf","Otter Creek",3,"22","CC","FB",1990,1,1,0,71.1,0.1,0,0,0,0,3
"essf","Otter Creek",3,"23","CC","FB",1990,1,1,0,31,0,0,0,0,1,1
"essf","Otter Creek",3,"24","CC","FB",1990,1,1,0,32.1,0,0,0,0.5,5,3
"essf","Otter Creek",1,"1","CC","FB",1994,5,5,0,158,0.5,0,0,0,18,34
"essf","Otter Creek",1,"2","CC","FB",1994,5,5,0,104.6,1.1,0,0,0,11.1,5
"essf","Otter Creek",1,"3","CC","FB",1994,5,5,0,56.2,0.2,0,0,0,6,4
"essf","Otter Creek",1,"4","CC","FB",1994,5,5,0,95.2,1.5,0,0,0,1.1,26
"essf","Otter Creek",1,"5","CC","FB",1994,5,5,0,160.5,0,0,0,0.1,15.5,22.5
"essf","Otter Creek",2,"11","CC","FB",1994,5,5,0,131.7,7.1,0,0,0,15,14
"essf","Otter Creek",2,"12","CC","FB",1994,5,5,0,127,2,0,0,0,20,17
"essf","Otter Creek",2,"13","CC","FB",1994,5,5,0,106,2.1,0,0,0,2.1,8
